"Year","Month","Day","Venue","Place","Country","LatLng","Date"
1961,"Jan",26,"Litherland Town Hall","Liverpool","England","53.4711189:-3.0018158",1961-01-26
1961,"Jan",27,"Aintree Institute","Liverpool","England","53.464901:-2.9569075",1961-01-27
1961,"Jan",28,"Lathom Hall","Liverpool","England","53.4650536:-3.0152106",1961-01-28
1961,"Jan",28,"Aintree Institute","Liverpool","England","53.464901:-2.9569075",1961-01-28
1961,"Jan",29,"Casbah Coffee Club","Liverpool","England","53.4319992:-2.9123344",1961-01-29
1961,"Jan",30,"Lathom Hall","Liverpool","England","53.4650536:-3.0152106",1961-01-30
1961,"Feb",1,"Hambleton Hall","Liverpool","England","53.4238358:-2.862644",1961-02-01
1961,"Feb",2,"Litherland Town Hall","Liverpool","England","53.4711189:-3.0018158",1961-02-02
1961,"Feb",3,"St John's Hall","Bootle","England","53.4455795:-2.9951262",1961-02-03
1961,"Feb",4,"Lathom Hall","Liverpool","England","53.4650536:-3.0152106",1961-02-04
1961,"Feb",5,"Blair Hall","Liverpool","England","53.4356384:-2.9718876",1961-02-05
1961,"Feb",6,"Lathom Hall","Liverpool","England","53.4650536:-3.0152106",1961-02-06
1961,"Feb",7,"Merseyside Civil Service Club","Liverpool","England","53.4057503:-2.9910655",1961-02-07
1961,"Feb",8,"Aintree Institute","Liverpool","England","53.464901:-2.9569075",1961-02-08
1961,"Feb",8,"Hambleton Hall","Liverpool","England","53.4238358:-2.862644",1961-02-08
1961,"Feb",9,"Cavern Club","Liverpool","England","53.4062843:-2.987946",1961-02-09
1961,"Feb",10,"Aintree Institute","Liverpool","England","53.464901:-2.9569075",1961-02-10
1961,"Feb",10,"Lathom Hall","Liverpool","England","53.4650536:-3.0152106",1961-02-10
1961,"Feb",11,"Lathom Hall","Liverpool","England","53.4650536:-3.0152106",1961-02-11
1961,"Feb",11,"Cassanova Club","Liverpool","England","53.4094086:-2.9768121",1961-02-11
1961,"Feb",12,"Casbah Coffee Club","Liverpool","England","53.4319992:-2.9123344",1961-02-12
1961,"Feb",14,"Cassanova Club","Liverpool","England","53.4094086:-2.9768121",1961-02-14
1961,"Feb",14,"Litherland Town Hall","Liverpool","England","53.4711189:-3.0018158",1961-02-14
1961,"Feb",15,"Aintree Institute","Liverpool","England","53.464901:-2.9569075",1961-02-15
1961,"Feb",15,"Hambleton Hall","Liverpool","England","53.4238358:-2.862644",1961-02-15
1961,"Feb",16,"Cassanova Club","Liverpool","England","53.4094086:-2.9768121",1961-02-16
1961,"Feb",16,"Litherland Town Hall","Liverpool","England","53.4711189:-3.0018158",1961-02-16
1961,"Feb",17,"St John's Hall","Liverpool","England","53.4245377:-2.9301605",1961-02-17
1961,"Feb",18,"Aintree Institute","Liverpool","England","53.464901:-2.9569075",1961-02-18
1961,"Feb",19,"Casbah Coffee Club","Liverpool","England","53.4319992:-2.9123344",1961-02-19
1961,"Feb",21,"Cavern Club","Liverpool","England","53.4062843:-2.987946",1961-02-21
1961,"Feb",21,"Cassanova Club","Liverpool","England","53.4094086:-2.9768121",1961-02-21
1961,"Feb",21,"Litherland Town Hall","Liverpool","England","53.4711189:-3.0018158",1961-02-21
1961,"Feb",22,"Aintree Institute","Liverpool","England","53.464901:-2.9569075",1961-02-22
1961,"Feb",22,"Hambleton Hall","Liverpool","England","53.4238358:-2.862644",1961-02-22
1961,"Feb",24,"Grosvenor Ballroom","Wallasey","England","53.4191704:-3.0398252",1961-02-24
1961,"Feb",25,"Aintree Institute","Liverpool","England","53.464901:-2.9569075",1961-02-25
1961,"Feb",25,"Lathom Hall","Liverpool","England","53.4650536:-3.0152106",1961-02-25
1961,"Feb",26,"Casbah Coffee Club","Liverpool","England","53.4319992:-2.9123344",1961-02-26
1961,"Feb",28,"Cavern Club","Liverpool","England","53.4062843:-2.987946",1961-02-28
1961,"Feb",28,"Cassanova Club","Liverpool","England","53.4094086:-2.9768121",1961-02-28
1961,"Feb",28,"Litherland Town Hall","Liverpool","England","53.4711189:-3.0018158",1961-02-28
1961,"Mar",1,"Aintree Institute","Liverpool","England","53.464901:-2.9569075",1961-03-01
1961,"Mar",2,"Litherland Town Hall","Liverpool","England","53.4711189:-3.0018158",1961-03-02
1961,"Mar",3,"St John's Hall","Bootle","England","53.4455795:-2.9951262",1961-03-03
1961,"Mar",4,"Aintree Institute","Liverpool","England","53.464901:-2.9569075",1961-03-04
1961,"Mar",5,"Casbah Coffee Club","Liverpool","England","53.4319992:-2.9123344",1961-03-05
1961,"Mar",6,"Cavern Club","Liverpool","England","53.4062843:-2.987946",1961-03-06
1961,"Mar",6,"Liverpool Jazz Society","Liverpool","England","53.4069786:-2.9878736",1961-03-06
1961,"Mar",7,"Cassanova Club","Liverpool","England","53.4094086:-2.9768121",1961-03-07
1961,"Mar",8,"Cavern Club","Liverpool","England","53.4062843:-2.987946",1961-03-08
1961,"Mar",8,"Aintree Institute","Liverpool","England","53.464901:-2.9569075",1961-03-08
1961,"Mar",8,"Hambleton Hall","Liverpool","England","53.4238358:-2.862644",1961-03-08
1961,"Mar",10,"Cavern Club","Liverpool","England","53.4062843:-2.987946",1961-03-10
1961,"Mar",10,"Grosvenor Ballroom","Wallasey","England","53.4191704:-3.0398252",1961-03-10
